"cle";"francais";"malagasy";"statut";"remarque"
"splashSubtitle";"Diagnostiquer les maladies du riz, hors ligne";"Mamantatra ny aretin'ny vary, na tsy misy aterineto";"à relire";""
"loginForgotPasswordTitle";"Mot de passe oublié ?";"Hadino ny teny miafina ?";"à relire";""
"loginEmailLabel";"Email";"Mailaka";"à relire";""
"loginEmailHint";"nom@exemple.com";"anarana@ohatra.com";"à relire";""
"loginEmailRequired";"Veuillez entrer votre email";"Ampidiro azafady ny mailakao";"à relire";""
"loginEmailInvalid";"Email invalide";"Mailaka tsy manan-kery";"à relire";""
"commonCancel";"Annuler";"Hanafoana";"à relire";""
"commonSend";"Envoyer";"Alefa";"à relire";""
"featureComingSoon";"Fonctionnalité bientôt disponible";"Tsy ho ela dia ho azo ampiasaina";"à relire";""
"registerComingSoon";"Inscription bientôt disponible";"Fisoratana anarana tsy ho ela";"à relire";""
"loginTitle";"Connexion";"Fidirana";"à relire";""
"loginPasswordLabel";"Mot de passe";"Teny miafina";"à relire";""
"loginPasswordRequired";"Veuillez entrer votre mot de passe";"Ampidiro azafady ny teny miafina";"à relire";""
"loginPhoneLabel";"Téléphone";"Laharana finday";"à relire";""
"loginPhoneRequired";"Veuillez entrer votre numéro";"Ampidiro azafady ny laharan'ny findainao";"à relire";""
"loginForgotPassword";"Mot de passe oublié ?";"Hadino ny teny miafina ?";"à relire";""
"loginSubmit";"Se connecter";"Hiditra";"à relire";""
"loginNoAccount";"Pas encore de compte ?";"Tsy mbola manana kaonty ?";"à relire";""
"loginRegister";"S'inscrire";"Hisoratra anarana";"à relire";""
"loginHello";"Bonjour !";"Miarahaba !";"à relire";""
"loginWelcome";"Ravie de vous revoir sur AgriMada";"Tongasoa eto amin'ny AgriMada";"à relire";""
"welcomeHeadline";"L'intelligence au service de vos rizières";"Ny faharanitan-tsaina ho an'ny tanimbary";"à relire";""
