id,sha256,source,licence,organe,classe,site,date,annotateur,split,images
hf_rice_disease:Rice___Brown_Spot,881a2d62a93965c99ed801471aa1ba149f1f5622585f8f5acdbc763300bb638b,ml/data/raw/hf_rice_disease/,Apache-2.0,feuille,helminthosporiose,,,,,613
hf_rice_disease:Rice___Healthy,881a2d62a93965c99ed801471aa1ba149f1f5622585f8f5acdbc763300bb638b,ml/data/raw/hf_rice_disease/,Apache-2.0,feuille,feuille_saine,,,,,1488
hf_rice_disease:Rice___Leaf_Blast,881a2d62a93965c99ed801471aa1ba149f1f5622585f8f5acdbc763300bb638b,ml/data/raw/hf_rice_disease/,Apache-2.0,feuille,pyriculariose_feuille,,,,,977
hf_rice_disease:Rice___Neck_Blast,881a2d62a93965c99ed801471aa1ba149f1f5622585f8f5acdbc763300bb638b,ml/data/raw/hf_rice_disease/,Apache-2.0,panicule_grains,pyriculariose_cou,,,,,1000
mendeley_hx6f852hw4:Original Images/Bacterial Leaf Blight,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,blb,,,,,180
mendeley_hx6f852hw4:Original Images/Brown Spot,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,helminthosporiose,,,,,267
mendeley_hx6f852hw4:Original Images/Healthy Rice Leaf,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,feuille_saine,,,,,157
mendeley_hx6f852hw4:Original Images/Leaf Blast,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,pyriculariose_feuille,,,,,305
mendeley_hx6f852hw4:Original Images/Leaf scald,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,echaudure,,,,,189
mendeley_hx6f852hw4:Original Images/Narrow Brown Leaf Spot,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,cercosporiose,,,,,117
mendeley_hx6f852hw4:Original Images/Rice Hispa,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,feuille,degats_hispa,,,,,215
mendeley_hx6f852hw4:Original Images/Sheath Blight,eb1e804ae414250d7a333a1c3820c49a520c2f09e2e6a38f280e90f58a4f62fb,ml/data/raw/mendeley_hx6f852hw4/,CC BY 4.0,tige_gaine,rhizoctone,,,,,271
nutrient_deficiency_rice:rice_plant_lacks_nutrients/Nitrogen(N),,ml/data/raw/nutrient_deficiency_rice/,non précisée par l'hébergeur,feuille,carence_azote,,,,,440
nutrient_deficiency_rice:rice_plant_lacks_nutrients/Phosphorus(P),,ml/data/raw/nutrient_deficiency_rice/,non précisée par l'hébergeur,feuille,carence_phosphore,,,,,333
nutrient_deficiency_rice:rice_plant_lacks_nutrients/Potassium(K),,ml/data/raw/nutrient_deficiency_rice/,non précisée par l'hébergeur,feuille,carence_potassium,,,,,383
paddy_doctor:test_images,,ml/data/raw/paddy_doctor/,CC BY,?,sans_etiquette,,,,,3469
paddy_doctor:train_images/bacterial_leaf_blight,,ml/data/raw/paddy_doctor/,CC BY,feuille,blb,,,,,479
paddy_doctor:train_images/bacterial_leaf_streak,,ml/data/raw/paddy_doctor/,CC BY,feuille,bls,,,,,380
paddy_doctor:train_images/bacterial_panicle_blight,,ml/data/raw/paddy_doctor/,CC BY,panicule_grains,brunissure_bacterienne_panicule,,,,,337
paddy_doctor:train_images/blast,,ml/data/raw/paddy_doctor/,CC BY,feuille,pyriculariose_feuille,,,,,1738
paddy_doctor:train_images/brown_spot,,ml/data/raw/paddy_doctor/,CC BY,feuille,helminthosporiose,,,,,965
paddy_doctor:train_images/dead_heart,,ml/data/raw/paddy_doctor/,CC BY,tige_gaine,coeur_mort_foreurs,,,,,1442
paddy_doctor:train_images/downy_mildew,,ml/data/raw/paddy_doctor/,CC BY,feuille,mildiou,,,,,620
paddy_doctor:train_images/hispa,,ml/data/raw/paddy_doctor/,CC BY,feuille,degats_hispa,,,,,1594
paddy_doctor:train_images/normal,,ml/data/raw/paddy_doctor/,CC BY,feuille,feuille_saine,,,,,1764
paddy_doctor:train_images/tungro,,ml/data/raw/paddy_doctor/,CC BY,exclu,exclu:tungro,,,,,1088
riceleafbd:Original Images/Bacterial Leaf Blight,3280cc176c2ee9f6ee4386e5728623fc7e8f9204b31c50f4ebb303edc52d9c83,ml/data/raw/riceleafbd/,CC BY 4.0,feuille,blb,,,,,422
riceleafbd:Original Images/Brown Spot,3280cc176c2ee9f6ee4386e5728623fc7e8f9204b31c50f4ebb303edc52d9c83,ml/data/raw/riceleafbd/,CC BY 4.0,feuille,helminthosporiose,,,,,356
riceleafbd:Original Images/Healthy Leaf,3280cc176c2ee9f6ee4386e5728623fc7e8f9204b31c50f4ebb303edc52d9c83,ml/data/raw/riceleafbd/,CC BY 4.0,feuille,feuille_saine,,,,,252
riceleafbd:Original Images/Tungro Virus,3280cc176c2ee9f6ee4386e5728623fc7e8f9204b31c50f4ebb303edc52d9c83,ml/data/raw/riceleafbd/,CC BY 4.0,exclu,exclu:tungro,,,,,530
sethy_5932:Rice Leaf Disease Images/Bacterialblight,b2d5fbef5a8ef6adefa04a83be7ee5150091f412d40162ecdf9fd2b1b5e24aaf,ml/data/raw/sethy_5932/,CC BY 4.0,feuille,blb,,,,,1584
sethy_5932:Rice Leaf Disease Images/Blast,b2d5fbef5a8ef6adefa04a83be7ee5150091f412d40162ecdf9fd2b1b5e24aaf,ml/data/raw/sethy_5932/,CC BY 4.0,feuille,pyriculariose_feuille,,,,,1440
sethy_5932:Rice Leaf Disease Images/Brownspot,b2d5fbef5a8ef6adefa04a83be7ee5150091f412d40162ecdf9fd2b1b5e24aaf,ml/data/raw/sethy_5932/,CC BY 4.0,feuille,helminthosporiose,,,,,1600
sethy_5932:Rice Leaf Disease Images/Tungro,b2d5fbef5a8ef6adefa04a83be7ee5150091f412d40162ecdf9fd2b1b5e24aaf,ml/data/raw/sethy_5932/,CC BY 4.0,exclu,exclu:tungro,,,,,1308
ml/data/raw/dhan_shomadhan/Dhan-Shomadhan/Field Background/Browon Spot/bsf_0.jpg,801ff0bc11c30a4f0c7b9e122cab83031d0e47195ede476c735e93124f1bf69b,ml/data/raw/dhan_shomadhan/Dhan-Shomadhan/Field Background/Browon Spot/bsf_0.jpg,CC BY 4.0,feuille,helminthosporiose,,,,,1
ml/data/raw/dhan_shomadhan/Dhan-Shomadhan/Field Background/Browon Spot/bsf_1.jpg,532981a187b3bc5bb8185ae1725a3104a05a2c2e2bd3ed61c7b4adb28f7132e3,ml/data/raw/dhan_shomadhan/Dhan-Shomadhan/Field Background/Browon Spot/bsf_1.jpg,CC BY 4.0,feuille,helminthosporiose,,,,,1
